impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K18-114495,A577350,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1944490,LOST,John Wayne,Dog,,Male,Boxer,Unknown,12/22/2018 12:00:00 AM,Date Lost,,,WA,98034,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1944490,Image Copyright HLP Inc. 2019,,
K18-114603,A577561,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1946800,LOST,Modig,Cat,,Male,Domestic Shorthair,Unknown,12/24/2018 12:00:00 AM,Date Lost,2600 175TH AVE NE,REDMOND,WA,98052,REDMOND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1946800,Image Copyright HLP Inc. 2019,,
K18-114593,A577548,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1946493,LOST,Bart,Dog,,Male,Pug,Unknown,12/29/2018 12:00:00 AM,Date Lost,25600 SE 179TH ST,MAPLE VALLEY,WA,98038,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1946493,Image Copyright HLP Inc. 2019,,
K18-114615,A577654,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1947213,In Public Home,,Dog,,,Labrador Retriever,Black,12/31/2018 12:00:00 AM,Date Found,,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1947213,Image Copyright HLP Inc. 2019,,
K18-114386,A576859,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1942577,LOST,Burley,Dog,,Male,Toy Poodle,Unknown,12/16/2018 12:00:00 AM,Date Lost,BURIEN,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1942577,Image Copyright HLP Inc. 2019,,
K18-114460,A577187,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1943918,LOST,Padfoot,Dog,,Male,German Shepherd,Unknown,12/20/2018 12:00:00 AM,Date Lost,APT G,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1943918,Image Copyright HLP Inc. 2019,,
K18-114457,A577178,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1943872,LOST,Ducati,Dog,,Male,Pit Bull,Unknown,12/19/2018 12:00:00 AM,Date Lost,HWY 169 AND LAWSON ST BLACK DIAMOND,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1943872,Image Copyright HLP Inc. 2019,,
K18-114406,A576969,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1943067,LOST,Seaweed,Dog,,Male,Miniature Poodle,Unknown,12/18/2018 12:00:00 AM,Date Lost,11227 S RENTON AVE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1943067,Image Copyright HLP Inc. 2019,,
K18-114613,A577651,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Dog,1 YEAR,Male,Terrier / Mix,White / Brown,12/31/2018 12:00:00 AM,Received on,4400 S 282ND ST,AUBURN,WA,98001,KING COUNTY,,,,Image Copyright HLP Inc. 2019,"Received on: 2018-12-31<p/> Found Near: 4400 S 282ND ST, AUBURN WA 98001<p/> Description: White / Brown Male Terrier / Mix Dog<p/> Age: 1 YEAR<p/>",
K18-114507,A577412,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1944735,In Public Home,,Dog,,Male,Pit Bull,Black / White,12/24/2018 12:00:00 AM,Date Found,32300 LYNCH LN,BLACK DIAMOND,WA,98010,BLACK DIAMOND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1944735,Image Copyright HLP Inc. 2019,,
K18-114600,A577560,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1946787,In Public Home,,Dog,,Male,Australian Shepherd,Brown,12/30/2018 12:00:00 AM,Date Found,4400 S 164TH ST,TUKWILA,WA,98188,TUKWILA,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1946787,Image Copyright HLP Inc. 2019,,
K18-114451,A577139,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1943718,In Public Home,,Dog,,,Labrador Retriever,Unknown,12/20/2018 12:00:00 AM,Date Found,,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1943718,Image Copyright HLP Inc. 2019,,
K18-114433,A577116,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1943634,LOST,Haunsie,Dog,,Male,Shih Tzu,Unknown,12/17/2018 12:00:00 AM,Date Lost,26400 CARNABY WAY,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1943634,Image Copyright HLP Inc. 2019,,
K18-114549,A577484,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1945753,LOST,Pisco,Cat,,Male,Norwegian Forest Cat,Unknown,12/23/2018 12:00:00 AM,Date Lost,12700 NE 86TH ST,KIRKLAND,WA,98033,KIRKLAND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1945753,Image Copyright HLP Inc. 2019,,
K18-114453,A577160,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1943729,LOST,Ziggy,Cat,,Female,Domestic Shorthair,Unknown,12/18/2018 12:00:00 AM,Date Lost,12800 SE 231ST WAY,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1943729,Image Copyright HLP Inc. 2019,,
K18-114597,A577555,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Cat,9 MONTHS,Female,Siamese / Mix,Tan / White,12/30/2018 12:00:00 AM,Received on,1200 MAPLE DR,ENUMCLAW,WA,98022,ENUMCLAW,,,,Image Copyright HLP Inc. 2019,"Received on: 2018-12-30<p/> Found Near: 1200 MAPLE DR, ENUMCLAW WA 98022<p/> Description: Tan / White Female Siamese / Mix Cat<p/> Age: 9 MONTHS<p/>",
K18-114398,A576868,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1942806,LOST,Spiky,Bird,,Male,Fowl,Unknown,12/15/2018 12:00:00 AM,Date Lost,10TH AVE NW,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1942806,Image Copyright HLP Inc. 2019,,
K18-114557,A577514,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1946024,In Public Home,,Dog,,Female,Golden Retriever,Unknown,12/27/2018 12:00:00 AM,Date Found,N 40TH AND WOODLAND PARK AVE N,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1946024,Image Copyright HLP Inc. 2019,,
K18-112566,A570126,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A570126,Meowtropolitan,Millie,Cat,8 YEARS 3 MONTHS,Spayed Female,Domestic Shorthair,Dilute Tor,09/30/2018 12:00:00 AM,Received on,300 RAINIER BLVD N,ISSAQUAH,WA,98027,ISSAQUAH,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A570126,Image Copyright HLP Inc. 2019,"Received on: 2018-09-30<p/> Found Near: 300 RAINIER BLVD N, ISSAQUAH WA 98027<p/> Description: Dilute Tor Spayed Female Domestic Shorthair Cat<p/> Age: 8 YEARS 3 MONTHS<p/> Current Location: Meowtropolitan<p/>",BLUE
K18-114461,A577188,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1943935,LOST,Bella,Dog,,Female,Bernese Mountain Dog,Unknown,12/20/2018 12:00:00 AM,Date Lost,900 33RD AVE S,SEATTLE,WA,98144,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1943935,Image Copyright HLP Inc. 2019,,
K18-114464,A577236,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1943960,LOST,Bella,Dog,,Female,Bernese Mountain Dog,Unknown,12/20/2018 12:00:00 AM,Date Lost,900 33RD AVE S,SEATTLE,WA,98144,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1943960,Image Copyright HLP Inc. 2019,,
K18-114522,A577443,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1945127,LOST,Benny,Dog,,Male,Flat Coat Retriever,Unknown,12/24/2018 12:00:00 AM,Date Lost,SOUTH 200TH ST. & TALBOT RD.,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1945127,Image Copyright HLP Inc. 2019,,
K18-114422,A577095,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1943467,In Public Home,,Dog,,Male,Shih Tzu,Unknown,12/18/2018 12:00:00 AM,Date Found,,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1943467,Image Copyright HLP Inc. 2019,,
K18-114595,A577550,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1946601,LOST,Cori,Dog,,Female,Yorkshire Terrier,Unknown,12/29/2018 12:00:00 AM,Date Lost,18400 SE 43RD PL,ISSAQUAH,WA,98027,ISSAQUAH,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1946601,Image Copyright HLP Inc. 2019,,
K18-114479,A577334,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1944081,LOST,Padfoot,Dog,,Male,German Shepherd,Unknown,12/20/2018 12:00:00 AM,Date Lost,COALCREEK AND MAYCREEK,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1944081,Image Copyright HLP Inc. 2019,,
K18-114521,A577442,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1945126,LOST,Benny,Dog,,Male,Flat Coat Retriever,Unknown,12/24/2018 12:00:00 AM,Date Lost,SOUTH 200TH ST. & TALBOT RD.,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1945126,Image Copyright HLP Inc. 2019,,
K18-114440,A577124,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1943661,LOST,Whitney,Dog,,Female,German Shepherd,Unknown,12/19/2018 12:00:00 AM,Date Lost,F ST SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1943661,Image Copyright HLP Inc. 2019,,
K18-114579,A554205,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,Benjy,Dead Dog,2 YEARS 9 MONTHS,Male,Standard Poodle / Bichon Frise,White,12/29/2018 12:00:00 AM,Received on,13200 24TH AVE S,SEATAC,WA,98168,SEATAC,,,,Image Copyright HLP Inc. 2019,"Received on: 2018-12-29<p/> Found Near: 13200 24TH AVE S, SEATAC WA 98168<p/> Description: White Male Standard Poodle / Bichon Frise Dog<p/> Age: 2 YEARS 9 MONTHS<p/>",
K18-114519,A577421,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1945008,LOST,Sherman,Cat,,Male,Domestic Shorthair,Unknown,12/25/2018 12:00:00 AM,Date Lost,221ST AVE SE BETWEEN 265TH WAY/SE 266 PL,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1945008,Image Copyright HLP Inc. 2019,,
K18-114501,A577359,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1944586,In Public Home,,Dog,,Male,West Highland White Terrier,Black / White,12/23/2018 12:00:00 AM,Date Found,119TH AVE NE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1944586,Image Copyright HLP Inc. 2019,,
K18-114414,A577085,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1943368,LOST,Zephie,Cat,,Male,American Shorthair,Unknown,12/17/2018 12:00:00 AM,Date Lost,16800 NE 31ST ST,BELLEVUE,WA,98008,BELLEVUE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1943368,Image Copyright HLP Inc. 2019,,
K18-114572,A577528,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1946185,LOST,Mocha,Cat,,Female,Domestic Shorthair,Unknown,12/25/2018 12:00:00 AM,Date Lost,97TH PL & 217TH ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1946185,Image Copyright HLP Inc. 2019,,
K18-114421,A577094,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1943442,LOST,Woola,Dog,,Female,Pit Bull,Unknown,12/19/2018 12:00:00 AM,Date Lost,19717 219 AVE NE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1943442,Image Copyright HLP Inc. 2019,,
K18-114616,A577655,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1947226,LOST,Henry/ Hal,Dog,,Male,Labrador Retriever,Unknown,12/31/2018 12:00:00 AM,Date Lost,7200 234TH AVE NE,REDMOND,WA,98053,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1947226,Image Copyright HLP Inc. 2019,,
K19-114620,A577659,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Dog,NO AGE,Female,Shih Tzu / Mix,White / Tan,01/01/2019 12:00:00 AM,Received on,19500 113TH PL SE,KENT,WA,98031,KENT,,,,Image Copyright HLP Inc. 2019,"Received on: 2019-01-01<p/> Found Near: 19500 113TH PL SE, KENT WA 98031<p/> Description: White / Tan Female Shih Tzu / Mix Dog<p/> Age: NO AGE<p/>",
K19-114619,A577658,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1947331,LOST,Tank,Dog,,Male,Chihuahua - Smooth Coated,Unknown,12/28/2018 12:00:00 AM,Date Lost,2400 CEDAR ST,EVERETT,WA,98201,SNOHOMISH COUNT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1947331,Image Copyright HLP Inc. 2019,,
K19-114622,A577662,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1947502,In Public Home,,Dog,,Male,Havanese,Brown / Black,01/01/2019 12:00:00 AM,Date Found,10800 NE 64TH ST,KIRKLAND,WA,98033,KIRKLAND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1947502,Image Copyright HLP Inc. 2019,,
K19-114624,A577664,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1947518,LOST,Suki,Dog,,Female,Shih Tzu,Unknown,12/31/2018 12:00:00 AM,Date Lost,11000 17TH AVE SW,SEATTLE,WA,98146,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1947518,Image Copyright HLP Inc. 2019,,
K19-114623,A577663,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1947516,LOST,Suki,Dog,,Female,Shih Tzu,Unknown,12/31/2018 12:00:00 AM,Date Lost,11000 17TH AVE SW,SEATTLE,WA,98146,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1947516,Image Copyright HLP Inc. 2019,,
K18-111806,A567224,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A567224,Neko,Snickers,Cat,3 YEARS 4 MONTHS,Neutered Male,Domestic Shorthair,Brn Tabby,09/02/2018 12:00:00 AM,Received on,10800 SE 222ND PL,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A567224,Image Copyright HLP Inc. 2019,"Received on: 2018-09-02<p/> Found Near: 10800 SE 222ND PL, KENT WA 98031<p/> Description: Brn Tabby Neutered Male Domestic Shorthair Cat<p/> Age: 3 YEARS 4 MONTHS<p/> Current Location: Neko<p/>",
K19-114625,A577665,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1947621,LOST,Shorty,Dog,,Male,Labrador Retriever,Yellow,01/01/2019 12:00:00 AM,Date Lost,27400 212TH PL SE,MAPLE VALLEY,WA,98038,MAPLE VALLEY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1947621,Image Copyright HLP Inc. 2019,,
K18-114592,A577547,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1946489,LOST,Bandit,Dog,,Male,Labrador Retriever,Black / White,12/29/2018 12:00:00 AM,Date Lost,25600 SE 179TH ST,MAPLE VALLEY,WA,98038,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1946489,Image Copyright HLP Inc. 2019,,
K19-114627,A577666,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1947682,LOST,,Dog,,Female,Chihuahua - Smooth Coated,Unknown,12/27/2018 12:00:00 AM,Date Lost,APT1201,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1947682,Image Copyright HLP Inc. 2019,,
